#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]      sigma_2 [au^2]      sigma_3 [au^2]    sigma_tot [au^2]
    0.000000000000E0                 NaN                 NaN                 NaN                 NaN                 NaN
   5.000000000000E-2    1.065819953300E1   7.382583061136E-2   7.474365936517E-7  6.238221526775E-11    1.073202611111E1
   1.000000000000E-1    1.033572218091E1   2.569762561436E-1   1.136439039822E-5   3.826806702012E-9    1.059270980528E1
   1.500000000000E-1    1.002203847243E1   5.086061260133E-1   5.464581275211E-5   4.177824204510E-8    1.053069928603E1
   2.000000000000E-1    9.716930821273E0   8.024445451420E-1   1.639755664502E-4   2.249649787939E-7    1.051953956695E1
   2.500000000000E-1    9.420186635276E0    1.121021365582E0   3.799564220761E-4   8.223757055049E-7    1.054158877966E1
   3.000000000000E-1    9.131598219986E0    1.452424025822E0   7.475571675320E-4   2.352953678897E-6    1.058477215593E1
   3.500000000000E-1    8.850962666575E0    1.788379958903E0   1.313742021572E-3   5.684707984470E-6    1.064066205221E1
   4.000000000000E-1    8.578081743639E0    2.123073538480E0   2.125540144734E-3   1.213475404925E-5    1.070329295702E1
   4.500000000000E-1    8.312761792674E0    2.452389603311E0   3.228509116480E-3   2.356533269207E-5    1.076840347043E1
   5.000000000000E-1    8.054813633944E0    2.773414768694E0   4.665545082210E-3   4.247193600428E-5    1.083293641966E1
   5.500000000000E-1    7.804052453772E0    3.084099941316E0   6.475993121592E-3   7.206062164457E-5    1.089470044883E1
   6.000000000000E-1    7.560297716484E0    3.383026673052E0   8.695013666190E-3   1.163124347554E-4    1.095213571564E1
   6.500000000000E-1    7.323373067128E0    3.669242166310E0   1.135316406991E-2   1.800335872451E-4    1.100414843110E1
   7.000000000000E-1    7.093106237050E0    3.942140716944E0   1.447615818817E-2   2.688906720885E-4    1.104999200285E1
   7.500000000000E-1    6.869328958342E0    4.201377216868E0   1.808477090470E-2   3.894307264755E-4    1.108918037684E1
   8.000000000000E-1    6.651876866836E0    4.446803194850E0   2.219485853041E-2   5.490864035467E-4    1.112142400662E1
   8.500000000000E-1    6.440589420948E0    4.678418961400E0   2.681746996485E-2   7.561668765884E-4    1.114658201919E1
   9.000000000000E-1    6.235309815452E0    4.896337432053E0   3.195902713933E-2   1.019835389686E-3    1.116462611003E1
   9.500000000000E-1    6.035884898758E0    5.100756528587E0   3.762155675856E-2   1.350074588950E-3    1.117561305869E1
    1.000000000000E0    5.842165088050E0    5.291937962843E0   4.380295799636E-2   1.757640923386E-3    1.117966364981E1
    1.050000000000E0    5.654004299130E0    5.470190813871E0   5.049729407271E-2   2.254009516764E-3    1.117694641659E1
    1.100000000000E0    5.471259858232E0    5.635858746254E0   5.769509731720E-2   2.851310949927E-3    1.116766501275E1
    1.150000000000E0    5.293792432044E0    5.789310016779E0   6.538367986019E-2   3.562261425081E-3    1.115204839011E1
    1.200000000000E0    5.121465952420E0    5.930929633299E0   7.354744348805E-2   4.400087744392E-3    1.113034311695E1
    1.250000000000E0    4.954147543389E0    6.061113186674E0   8.216818375509E-2   5.378448504318E-3    1.110280736232E1
    1.300000000000E0    4.791707451185E0    6.180261995615E0   9.122538460177E-2   6.511352789485E-3    1.106970618419E1
    1.350000000000E0    4.634018973489E0    6.288779280589E0   1.006965008887E-1   7.813077648113E-3    1.103130783261E1
    1.400000000000E0    4.480958392549E0    6.387067156889E0   1.105572268125E-1   9.298085397828E-3    1.098788086165E1
    1.450000000000E0    4.332404908629E0    6.475524277512E0   1.207817491021E-1   1.098094182782E-2    1.093969187707E1
