#             E [au]         delta_0 [1]         delta_1 [1]         delta_2 [1]         delta_3 [1]
    0.000000000000E0    0.000000000000E0                 NaN                 NaN                 NaN
   5.000000000000E-2  -6.271347748695E-1  -7.566761884705E-3  -1.958668436890E-4   2.413292785350E-7
   1.000000000000E-1  -8.539036429617E-1  -2.031458961570E-2  -1.041920455246E-3   2.737086595604E-6
   1.500000000000E-1   -1.012310713288E0  -3.552774568909E-2  -2.701914322134E-3   1.134521879234E-5
   2.000000000000E-1   -1.136096420913E0  -5.220506218982E-2  -5.223857677440E-3   3.114885153276E-5
   2.500000000000E-1   -1.238505529733E0  -6.979116599615E-2  -8.602875687395E-3   6.825220795763E-5
   3.000000000000E-1   -1.326305906876E0  -8.793749786005E-2  -1.280582191310E-2   1.296863441459E-4
   3.500000000000E-1   -1.403465053027E0  -1.064105619315E-1  -1.778436669246E-2   2.233636215542E-4
   4.000000000000E-1   -1.472519773077E0  -1.250474412497E-1  -2.348269494535E-2   3.580616592545E-4
   4.500000000000E-1   -1.535193672598E0  -1.437312735353E-1  -2.984221483206E-2   5.434285418176E-4
   5.000000000000E-1    1.548880544998E0  -1.623765706252E-1  -3.680446111723E-2   7.900053669562E-4
   5.500000000000E-1    1.495615134990E0  -1.809199093097E-1  -4.431285793519E-2   1.109264299252E-3
   6.000000000000E-1    1.445918986201E0  -1.993137700910E-1  -5.231374429656E-2   1.513661476790E-3
   6.500000000000E-1    1.399261744723E0  -2.175223218461E-1  -6.075691887236E-2   2.016704891843E-3
   7.000000000000E-1    1.355223871030E0  -2.355184601864E-1  -6.959587185584E-2   2.633037950005E-3
   7.500000000000E-1    1.313467861810E0  -2.532816807640E-1  -7.878781554811E-2   3.378539916822E-3
   8.000000000000E-1    1.273718235744E0  -2.707965241106E-1  -8.829358856615E-2   4.270444930846E-3
   8.500000000000E-1    1.235747260840E0  -2.880514204632E-1  -9.807748394085E-2   5.327481764523E-3
   9.000000000000E-1    1.199364556761E0  -3.050378205742E-1  -1.081070349282E-1   6.570037051265E-3
   9.500000000000E-1    1.164409373866E0  -3.217495336528E-1  -1.183527809216E-1   8.020345316001E-3
    1.000000000000E0    1.130744765195E0  -3.381822184460E-1  -1.287880281832E-1   9.702709850931E-3
    1.050000000000E0    1.098253118411E0  -3.543329882347E-1  -1.393886148125E-1   1.164375935832E-2
    1.100000000000E0    1.066832688677E0  -3.702001021891E-1  -1.501326857060E-1   1.387274623223E-2
    1.150000000000E0    1.036394870948E0  -3.857827222613E-1  -1.610004808958E-1   1.642189364422E-2
    1.200000000000E0    1.006862033770E0  -4.010807209406E-1  -1.719741388745E-1   1.932680000327E-2
    1.250000000000E0   9.781657799476E-1  -4.160945280931E-1  -1.830375155420E-1   2.262691118105E-2
    1.300000000000E0   9.502455373534E-1  -4.308250087298E-1  -1.941760186276E-1   2.636607307212E-2
    1.350000000000E0   9.230474093604E-1  -4.452733649740E-1  -2.053764570015E-1   3.059317966065E-2
    1.400000000000E0   8.965232267810E-1  -4.594410572296E-1  -2.166269040861E-1   3.536293506978E-2
    1.450000000000E0   8.706297629076E-1  -4.733297408039E-1  -2.279165743194E-1   4.073675193558E-2
    1.500000000000E0   8.453280775664E-1  -4.869412146093E-1  -2.392357117115E-1   4.678381324927E-2
    1.550000000000E0   8.205829673405E-1  -5.002773800319E-1  -2.505754894098E-1   5.358233061381E-2
    1.600000000000E0   7.963624989484E-1  -5.133402076809E-1  -2.619279192843E-1   6.122103879134E-2
    1.650000000000E0   7.726376160739E-1  -5.261317106894E-1  -2.732857706048E-1   6.980097466811E-2
    1.700000000000E0   7.493818009727E-1  -5.386539234163E-1  -2.846424969066E-1   7.943759828992E-2
    1.750000000000E0   7.265707856918E-1  -5.509088844674E-1  -2.959921702090E-1   9.026332460656E-2
    1.800000000000E0   7.041823025922E-1  -5.628986233192E-1  -3.073294218567E-1   1.024305458057E-1
    1.850000000000E0   6.821958686875E-1  -5.746251498922E-1  -3.186493893115E-1   1.161152357677E-1
    1.900000000000E0   6.605925982496E-1  -5.860904467236E-1  -3.299476682932E-1   1.315212359608E-1
    1.950000000000E0   6.393550397255E-1  -5.972964629583E-1  -3.412202696371E-1   1.488853236053E-1
    2.000000000000E0   6.184670325155E-1  -6.082451103111E-1  -3.524635805242E-1   1.684831480236E-1
    2.050000000000E0   5.979135811306E-1  -6.189382602221E-1  -3.636743294438E-1   1.906360755551E-1
    2.100000000000E0   5.776807453383E-1  -6.293777423260E-1  -3.748495546678E-1   2.157188822633E-1
    2.150000000000E0   5.577555406496E-1  -6.395653439985E-1  -3.859865757527E-1   2.441680322111E-1
    2.200000000000E0   5.381258535883E-1  -6.495028106229E-1  -3.970829678423E-1   2.764899096912E-1
    2.250000000000E0   5.187803636344E-1  -6.591918466438E-1  -4.081365384220E-1   3.132677275008E-1
    2.300000000000E0   4.997084743689E-1  -6.686341173207E-1  -4.191453062942E-1   3.551647607549E-1
    2.350000000000E0   4.809002528909E-1  -6.778312508155E-1  -4.301074825620E-1   4.029198738650E-1
    2.400000000000E0   4.623463734964E-1  -6.867848409616E-1  -4.410214533901E-1   4.573288868981E-1
    2.450000000000E0   4.440380694834E-1  -6.954964502834E-1  -4.518857643888E-1   5.192023016526E-1
    2.500000000000E0   4.259670883216E-1  -7.039676133693E-1  -4.626991064426E-1   5.892871857227E-1
    2.550000000000E0   4.081256515998E-1  -7.121998406393E-1  -4.734603028612E-1   6.681410738431E-1
    2.600000000000E0   3.905064184892E-1  -7.201946222185E-1  -4.841682977003E-1   7.559533767996E-1
    2.650000000000E0   3.731024538175E-1  -7.279534321708E-1  -4.948221450985E-1   8.523310912631E-1
    2.700000000000E0   3.559071965272E-1  -7.354777328906E-1  -5.054209996251E-1   9.561022717233E-1
    2.750000000000E0   3.389144346364E-1  -7.427689796299E-1  -5.159641075023E-1    1.065228775187E0
    2.800000000000E0   3.221182795437E-1  -7.498286251978E-1  -5.264507985697E-1    1.176923402815E0
    2.850000000000E0   3.055131434910E-1  -7.566581248826E-1  -5.368804789961E-1    1.288000381801E0
    2.900000000000E0   2.890937197511E-1  -7.632589413061E-1  -5.472526245684E-1    1.395368688392E0
    2.950000000000E0   2.728549624968E-1  -7.696325495673E-1  -5.575667746400E-1    1.496490295370E0
    3.000000000000E0   2.567920708187E-1  -7.757804423528E-1  -5.678225265217E-1   -1.551944931963E0
    3.050000000000E0   2.409004724560E-1  -7.817041351309E-1  -5.780195304601E-1   -1.467616038437E0
    3.100000000000E0   2.251758091543E-1  -7.874051714787E-1  -5.881574849502E-1   -1.392266942015E0
    3.150000000000E0   2.096139235659E-1  -7.928851282942E-1  -5.982361324885E-1   -1.325547894630E0
    3.200000000000E0   1.942108466866E-1  -7.981456211958E-1  -6.082552556708E-1   -1.266813168869E0
    3.250000000000E0   1.789627857294E-1  -8.031883097983E-1  -6.182146736090E-1   -1.215280605644E0
    3.300000000000E0   1.638661151117E-1  -8.080149030748E-1  -6.281142386798E-1   -1.170138712008E0
    3.350000000000E0   1.489173657282E-1  -8.126271645622E-1  -6.379538335371E-1   -1.130609932026E0
    3.400000000000E0   1.341132158869E-1  -8.170269176997E-1  -6.477333683332E-1   -1.095982830303E0
    3.450000000000E0   1.194504836783E-1  -8.212160509096E-1  -6.574527781882E-1   -1.065624525790E0
    3.500000000000E0   1.049261177801E-1  -8.251965227140E-1  -6.671120208905E-1   -1.038981692846E0
    3.550000000000E0   9.053719156582E-2  -8.289703667194E-1  -6.767110747225E-1   -1.015575596292E0
    3.600000000000E0   7.628089597149E-2  -8.325396964021E-1  -6.862499365597E-1  -9.949944851066E-1
    3.650000000000E0   6.215453286411E-2  -8.359067098597E-1  -6.957286200394E-1  -9.768852359093E-1
    3.700000000000E0   4.815550977768E-2  -8.390736942411E-1  -7.051471538943E-1  -9.609452428734E-1
